sample_id,distance_km,r_i,eta_point_i,T_i,loss_total_db_i,chi_line_i,chi_tot_i,X_tot_i,I_AB_i,chi_BE_i,SKR_i,SKR_clipped_i
0,19.0000000000,0.0082170324,nan,0.0306141924,15.1407719203,nan,nan,nan,nan,nan,nan,nan
1,19.0000000000,0.0127399358,nan,0.0306061872,15.1419076938,nan,nan,nan,nan,nan,nan,nan
2,19.0000000000,0.0100925502,nan,0.0306112920,15.1411833972,nan,nan,nan,nan,nan,nan,nan
3,19.0000000000,0.0196165901,nan,0.0305874037,15.1445738497,nan,nan,nan,nan,nan,nan,nan
4,19.0000000000,0.0393141299,nan,0.0304895981,15.1584830090,nan,nan,nan,nan,nan,nan,nan
5,19.0000000000,0.0342596619,nan,0.0305208975,15.1540270010,nan,nan,nan,nan,nan,nan,nan
6,19.0000000000,0.0427508086,nan,0.0304658820,15.1618624440,nan,nan,nan,nan,nan,nan,nan
7,19.0000000000,0.0328393214,nan,0.0305289240,15.1528850283,nan,nan,nan,nan,nan,nan,nan
8,19.0000000000,0.0049071296,nan,0.0306178619,15.1402514065,nan,nan,nan,nan,nan,nan,nan
9,19.0000000000,0.0099749054,nan,0.0306114914,15.1411551086,nan,nan,nan,nan,nan,nan,nan
10,19.0000000000,0.0221003792,nan,0.0305786605,15.1458154282,nan,nan,nan,nan,nan,nan,nan
11,19.0000000000,0.0135000287,nan,0.0306045030,15.1421466818,nan,nan,nan,nan,nan,nan,nan
12,19.0000000000,0.0448955796,nan,0.0304500848,15.1641149322,nan,nan,nan,nan,nan,nan,nan
13,19.0000000000,0.0214866899,nan,0.0305809174,15.1454949098,nan,nan,nan,nan,nan,nan,nan
14,19.0000000000,0.0505503573,nan,0.0304047740,15.1705821972,nan,nan,nan,nan,nan,nan,nan
15,19.0000000000,0.0546535859,nan,0.0303685827,15.1757547570,nan,nan,nan,nan,nan,nan,nan
16,19.0000000000,0.0409128627,nan,0.0304788102,15.1600199030,nan,nan,nan,nan,nan,nan,nan
17,19.0000000000,0.0281456862,nan,0.0305530440,15.1494551432,nan,nan,nan,nan,nan,nan,nan
18,19.0000000000,0.0311005115,nan,0.0305382902,15.1515528241,nan,nan,nan,nan,nan,nan,nan
19,19.0000000000,0.0234048095,nan,0.0305736529,15.1465266886,nan,nan,nan,nan,nan,nan,nan
20,19.0000000000,0.0055639721,nan,0.0306172809,15.1403338201,nan,nan,nan,nan,nan,nan,nan
21,19.0000000000,0.0209624423,nan,0.0305827951,15.1452282534,nan,nan,nan,nan,nan,nan,nan
22,19.0000000000,0.0545411077,nan,0.0303696118,15.1756075876,nan,nan,nan,nan,nan,nan,nan
23,19.0000000000,0.0251557895,nan,0.0305664812,15.1475455431,nan,nan,nan,nan,nan,nan,nan
24,19.0000000000,0.0199286370,nan,0.0305863623,15.1447217131,nan,nan,nan,nan,nan,nan,nan
25,19.0000000000,0.0440233966,nan,0.0304566011,15.1631856456,nan,nan,nan,nan,nan,nan,nan
26,19.0000000000,0.0267765267,nan,0.0305593836,15.1485540927,nan,nan,nan,nan,nan,nan,nan
27,19.0000000000,0.0392440875,nan,0.0304900609,15.1584170765,nan,nan,nan,nan,nan,nan,nan
28,19.0000000000,0.0066299074,nan,0.0306161829,15.1404895665,nan,nan,nan,nan,nan,nan,nan
29,19.0000000000,0.0239348893,nan,0.0305715362,15.1468273749,nan,nan,nan,nan,nan,nan,nan
30,19.0000000000,0.0149190879,nan,0.0306010979,15.1426299157,nan,nan,nan,nan,nan,nan,nan
31,19.0000000000,0.0044737981,nan,0.0306182053,15.1402026973,nan,nan,nan,nan,nan,nan,nan
32,19.0000000000,0.0284268519,nan,0.0305517032,15.1496457398,nan,nan,nan,nan,nan,nan,nan
33,19.0000000000,0.0403755362,nan,0.0304824835,15.1594965263,nan,nan,nan,nan,nan,nan,nan
34,19.0000000000,0.0354451096,nan,0.0305139399,15.1550171310,nan,nan,nan,nan,nan,nan,nan
35,19.0000000000,0.0636497009,nan,0.0302795392,15.1885073861,nan,nan,nan,nan,nan,nan,nan
36,19.0000000000,0.0416523154,nan,0.0304736765,15.1607514711,nan,nan,nan,nan,nan,nan,nan
37,19.0000000000,0.0253043724,nan,0.0305658489,15.1476353819,nan,nan,nan,nan,nan,nan,nan
38,19.0000000000,0.0506618744,nan,0.0304038272,15.1707174426,nan,nan,nan,nan,nan,nan,nan
39,19.0000000000,0.0112688767,nan,0.0306091698,15.1414844926,nan,nan,nan,nan,nan,nan,nan
40,19.0000000000,0.0133129248,nan,0.0306049267,15.1420865681,nan,nan,nan,nan,nan,nan,nan
41,19.0000000000,0.0263553773,nan,0.0305612704,15.1482859669,nan,nan,nan,nan,nan,nan,nan
42,19.0000000000,0.0285212018,nan,0.0305512503,15.1497101222,nan,nan,nan,nan,nan,nan,nan
43,19.0000000000,0.0288404836,nan,0.0305497065,15.1499295760,nan,nan,nan,nan,nan,nan,nan
44,19.0000000000,0.0183021152,nan,0.0305916104,15.1439766048,nan,nan,nan,nan,nan,nan,nan
45,19.0000000000,0.0408193028,nan,0.0304794533,15.1599282745,nan,nan,nan,nan,nan,nan,nan
46,19.0000000000,0.0450078294,nan,0.0304492370,15.1642358554,nan,nan,nan,nan,nan,nan,nan
47,19.0000000000,0.0349982410,nan,0.0305165903,15.1546399349,nan,nan,nan,nan,nan,nan,nan
48,19.0000000000,0.0081152722,nan,0.0306143328,15.1407520057,nan,nan,nan,nan,nan,nan,nan
49,19.0000000000,0.0229732875,nan,0.0305753412,15.1462868812,nan,nan,nan,nan,nan,nan,nan
