sample_id,distance_km,r_i,eta_point_i,T_i,loss_total_db_i,chi_line_i,chi_tot_i,X_tot_i,I_AB_i,chi_BE_i,SKR_i,SKR_clipped_i
0,19.0000000000,14.7986371695,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
1,19.0000000000,20.3337454401,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
2,19.0000000000,175.2373285741,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
3,19.0000000000,71.3083490754,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
4,19.0000000000,32.2341729880,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
5,19.0000000000,107.3914342879,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
6,19.0000000000,86.2950353598,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
7,19.0000000000,107.5464884141,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
8,19.0000000000,76.4914798811,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
9,19.0000000000,85.9410037260,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
10,19.0000000000,98.1795896507,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
11,19.0000000000,29.5260559913,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
12,19.0000000000,149.1555672962,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
13,19.0000000000,28.3530793031,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
14,19.0000000000,107.2717427683,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
15,19.0000000000,55.2637583146,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
16,19.0000000000,152.6035685100,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
17,19.0000000000,90.9099844127,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
18,19.0000000000,127.1458600459,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
19,19.0000000000,134.0702914563,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
20,19.0000000000,108.1631407358,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
21,19.0000000000,60.5364317510,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
22,19.0000000000,165.5155315425,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
23,19.0000000000,101.2525190660,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
24,19.0000000000,27.6078229900,nan,0.0000000000,inf,nan,nan,nan,nan,nan,nan,nan
