sample_id,distance_km,r_i,eta_point_i,T_i,loss_total_db_i,chi_line_i,chi_tot_i,X_tot_i,I_AB_i,chi_BE_i,SKR_i,SKR_clipped_i
0,51.3157894737,0.7671404022,nan,0.0000126896,48.9655290105,nan,nan,nan,nan,nan,nan,nan
1,51.3157894737,0.7898922210,nan,0.0000090620,50.4277465630,nan,nan,nan,nan,nan,nan,nan
2,51.3157894737,1.1156445061,nan,0.0000000246,76.0939905822,nan,nan,nan,nan,nan,nan,nan
3,51.3157894737,1.0114660540,nan,0.0000002031,66.9230756327,nan,nan,nan,nan,nan,nan,nan
4,51.3157894737,1.4842787230,nan,0.0000000000,115.8267373380,nan,nan,nan,nan,nan,nan,nan
5,51.3157894737,0.8512421090,nan,0.0000034790,54.5854154111,nan,nan,nan,nan,nan,nan,nan
6,51.3157894737,1.0604496218,nan,0.0000000772,71.1223045571,nan,nan,nan,nan,nan,nan,nan
7,51.3157894737,0.9922473198,nan,0.0000002931,65.3301911388,nan,nan,nan,nan,nan,nan,nan
8,51.3157894737,0.4555050122,nan,0.0004710646,33.2691954062,nan,nan,nan,nan,nan,nan,nan
9,51.3157894737,0.5402194414,nan,0.0002119422,36.7378257270,nan,nan,nan,nan,nan,nan,nan
10,51.3157894737,0.4932361969,nan,0.0003356921,34.7405886116,nan,nan,nan,nan,nan,nan,nan
11,51.3157894737,0.3324611653,nan,0.0011775694,29.2901348933,nan,nan,nan,nan,nan,nan,nan
12,51.3157894737,0.2020001888,nan,0.0022710371,26.4377577301,nan,nan,nan,nan,nan,nan,nan
13,51.3157894737,0.5339325074,nan,0.0002259458,36.4599568360,nan,nan,nan,nan,nan,nan,nan
14,51.3157894737,0.6008375080,nan,0.0001100182,39.5853551568,nan,nan,nan,nan,nan,nan,nan
15,51.3157894737,0.7305041677,nan,0.0000213721,46.7015351877,nan,nan,nan,nan,nan,nan,nan
16,51.3157894737,0.4029475842,nan,0.0007217322,31.4162389477,nan,nan,nan,nan,nan,nan,nan
17,51.3157894737,1.3696526849,nan,0.0000000001,102.2545462003,nan,nan,nan,nan,nan,nan,nan
18,51.3157894737,0.4423771952,nan,0.0005266325,32.7849234369,nan,nan,nan,nan,nan,nan,nan
19,51.3157894737,0.0931753507,nan,0.0030689367,25.1301207117,nan,nan,nan,nan,nan,nan,nan
20,51.3157894737,0.6282098604,nan,0.0000799616,40.9711878575,nan,nan,nan,nan,nan,nan,nan
21,51.3157894737,0.2356045754,nan,0.0019777580,27.0382684469,nan,nan,nan,nan,nan,nan,nan
22,51.3157894737,0.7165009308,nan,0.0000259078,45.8656866749,nan,nan,nan,nan,nan,nan,nan
23,51.3157894737,0.9401919105,nan,0.0000007638,61.1704810616,nan,nan,nan,nan,nan,nan,nan
24,51.3157894737,0.3898700023,nan,0.0007960278,30.9907175464,nan,nan,nan,nan,nan,nan,nan
25,51.3157894737,0.5274919399,nan,0.0002410628,36.1786989043,nan,nan,nan,nan,nan,nan,nan
26,51.3157894737,0.6467480094,nan,0.0000638982,41.9451155295,nan,nan,nan,nan,nan,nan,nan
27,51.3157894737,0.4472063698,nan,0.0005056609,32.9614064523,nan,nan,nan,nan,nan,nan,nan
28,51.3157894737,0.6988795053,nan,0.0000328318,44.8370494673,nan,nan,nan,nan,nan,nan,nan
29,51.3157894737,0.6680387369,nan,0.0000489903,43.0988962248,nan,nan,nan,nan,nan,nan,nan
30,51.3157894737,0.2692993635,nan,0.0016850645,27.7338346105,nan,nan,nan,nan,nan,nan,nan
31,51.3157894737,0.4492349643,nan,0.0004970364,33.0361181383,nan,nan,nan,nan,nan,nan,nan
32,51.3157894737,0.8357365498,nan,0.0000044617,53.5050035702,nan,nan,nan,nan,nan,nan,nan
33,51.3157894737,0.4327286793,nan,0.0005704133,32.4381033882,nan,nan,nan,nan,nan,nan,nan
34,51.3157894737,0.2033865477,nan,0.0022590753,26.4606929871,nan,nan,nan,nan,nan,nan,nan
35,51.3157894737,0.7917111665,nan,0.0000088176,50.5465072717,nan,nan,nan,nan,nan,nan,nan
36,51.3157894737,0.2523362465,nan,0.0018314874,27.3719605778,nan,nan,nan,nan,nan,nan,nan
37,51.3157894737,0.7260947442,nan,0.0000227165,46.4365783831,nan,nan,nan,nan,nan,nan,nan
38,51.3157894737,0.4772650331,nan,0.0003887443,34.1033594766,nan,nan,nan,nan,nan,nan,nan
39,51.3157894737,0.7442127515,nan,0.0000176376,47.5356003086,nan,nan,nan,nan,nan,nan,nan
40,51.3157894737,1.0689775853,nan,0.0000000650,71.8738501987,nan,nan,nan,nan,nan,nan,nan
41,51.3157894737,0.6745372079,nan,0.0000450966,43.4585661516,nan,nan,nan,nan,nan,nan,nan
42,51.3157894737,0.5301518581,nan,0.0002347232,36.2944396147,nan,nan,nan,nan,nan,nan,nan
43,51.3157894737,0.8965588278,nan,0.0000016376,57.8578661250,nan,nan,nan,nan,nan,nan,nan
44,51.3157894737,1.8104975180,nan,0.0000000000,160.4735416404,nan,nan,nan,nan,nan,nan,nan
45,51.3157894737,0.2658793693,nan,0.0017143656,27.6589655803,nan,nan,nan,nan,nan,nan,nan
46,51.3157894737,0.3160206747,nan,0.0013021705,28.8533216016,nan,nan,nan,nan,nan,nan,nan
47,51.3157894737,1.2124046926,nan,0.0000000029,85.4236218061,nan,nan,nan,nan,nan,nan,nan
48,51.3157894737,0.1717967205,nan,0.0025250300,25.9773345835,nan,nan,nan,nan,nan,nan,nan
49,51.3157894737,1.0756688916,nan,0.0000000567,72.4677866587,nan,nan,nan,nan,nan,nan,nan
50,51.3157894737,0.1932691751,nan,0.0023458752,26.2969508912,nan,nan,nan,nan,nan,nan,nan
51,51.3157894737,0.2530210815,nan,0.0018255299,27.3861104335,nan,nan,nan,nan,nan,nan,nan
52,51.3157894737,0.8238357134,nan,0.0000053835,52.6893498445,nan,nan,nan,nan,nan,nan,nan
53,51.3157894737,0.3496680365,nan,0.0010540866,29.7712372489,nan,nan,nan,nan,nan,nan,nan
54,51.3157894737,0.5713785923,nan,0.0001526365,38.1634166987,nan,nan,nan,nan,nan,nan,nan
55,51.3157894737,0.3889701373,nan,0.0008013167,30.9619580735,nan,nan,nan,nan,nan,nan,nan
56,51.3157894737,0.0704788840,nan,0.0031770982,24.9796935881,nan,nan,nan,nan,nan,nan,nan
57,51.3157894737,0.4692695637,nan,0.0004176097,33.7922942103,nan,nan,nan,nan,nan,nan,nan
58,51.3157894737,1.2431520138,nan,0.0000000014,88.5520604426,nan,nan,nan,nan,nan,nan,nan
59,51.3157894737,0.4853801012,nan,0.0003610358,34.4244972587,nan,nan,nan,nan,nan,nan,nan
60,51.3157894737,0.5456635212,nan,0.0002003968,36.9810924276,nan,nan,nan,nan,nan,nan,nan
61,51.3157894737,0.2216569368,nan,0.0021000357,26.7777333095,nan,nan,nan,nan,nan,nan,nan
62,51.3157894737,0.7204956295,nan,0.0000245332,46.1024657404,nan,nan,nan,nan,nan,nan,nan
63,51.3157894737,1.0769366890,nan,0.0000000552,72.5807405749,nan,nan,nan,nan,nan,nan,nan
64,51.3157894737,1.0462394424,nan,0.0000001027,69.8834856072,nan,nan,nan,nan,nan,nan,nan
65,51.3157894737,1.0038245754,nan,0.0000002352,66.2860453273,nan,nan,nan,nan,nan,nan,nan
66,51.3157894737,0.6820037650,nan,0.0000409623,43.8761516102,nan,nan,nan,nan,nan,nan,nan
67,51.3157894737,0.6783268306,nan,0.0000429543,43.6699307294,nan,nan,nan,nan,nan,nan,nan
68,51.3157894737,0.4969291180,nan,0.0003242692,34.8909423330,nan,nan,nan,nan,nan,nan,nan
69,51.3157894737,0.7697435056,nan,0.0000122162,49.1306425531,nan,nan,nan,nan,nan,nan,nan
